session_date,bar_ts,signal_id,category,direction,strength,score_tier,bar_open,bar_high,bar_low,bar_close,fwd_close_1b,fwd_close_2b,fwd_close_5b,fwd_close_10b,fwd_close_15b,fwd_close_30b,direction_num,signal_price,signed_ticks_1b,win_1b,signed_ticks_2b,win_2b,signed_ticks_5b,win_5b,signed_ticks_10b,win_10b,signed_ticks_15b,win_15b,signed_ticks_30b,win_30b,poc,val,vah,vwap,session_low,session_high,lvn_count,lvn_prices,prior_poc,prior_val,prior_vah,prior_vwap,prior_lvn_prices,dist_poc_ticks,dist_vah_ticks,dist_val_ticks,dist_vwap_ticks,dist_current_value_edge_ticks,dist_prior_value_edge_ticks,dist_nearest_lvn_ticks,dist_prior_nearest_lvn_ticks,at_poc,away_from_poc,at_vwap,near_lvn,near_prior_lvn,at_value_edge,beyond_value_area,combined_value_edge_type_bc,near_prior_poc,near_prior_value_edge,near_any_prior_major_level,near_prior_vwap
2025-01-03,2025-01-03 19:00:00+00:00,ABS_03,absorption,-1,0.0269,TYPE_C,21509.5,21517.25,21496.75,21515.25,21514.5,21521.5,21526.25,21533.5,21532.0,21536.75,-1,21517.25,3.0,True,-25.0,False,-44.0,False,-73.0,False,-67.0,False,-86.0,False,21513.75,21371.0,21546.25,21430.75,21261.5,21559.25,39,21316.25|21328.75|21331.25|21341.50|21348.50|21349.50|21355.75|21363.00|21370.25|21371.75|21373.25|21384.00|21400.75|21408.50|21420.50|21444.50|21455.50|21456.25|21459.75|21461.75|21464.25|21467.00|21470.50|21474.00|21475.75|21486.25|21494.50|21495.75|21498.75|21507.50|21508.75|21511.50|21513.50|21516.75|21529.25|21530.25|21533.75|21546.50|21552.00,21297.0,21071.75,21356.25,21197.25,21004.50|21027.50|21037.25|21045.00|21047.75|21057.50|21058.75|21063.00|21075.75|21089.00|21096.50|21103.00|21110.25|21112.75|21115.75|21124.00|21142.50|21155.00|21176.75|21190.00|21196.00|21216.50|21225.50|21230.50|21240.50|21248.25|21254.75|21263.00|21264.50|21272.75|21286.75|21293.50|21302.25|21303.25|21307.75|21316.25|21320.25|21332.50|21345.00|21356.50|21369.75|21422.50,14.0,116.0,585.0,346.0,116.0,644.0,2.0,379.0,False,True,False,True,False,False,False,False,False,False,False,False
2025-01-03,2025-01-03 20:51:00+00:00,ABS_03,absorption,-1,0.0504,TYPE_C,21482.0,21486.0,21474.75,21485.75,21493.0,21489.25,21514.0,21735.0,21778.0,21819.0,-1,21486.0,-29.0,False,-14.0,False,-113.0,False,-997.0,False,-1169.0,False,-1333.0,False,21513.75,21371.0,21546.25,21430.75,21261.5,21559.25,39,21316.25|21328.75|21331.25|21341.50|21348.50|21349.50|21355.75|21363.00|21370.25|21371.75|21373.25|21384.00|21400.75|21408.50|21420.50|21444.50|21455.50|21456.25|21459.75|21461.75|21464.25|21467.00|21470.50|21474.00|21475.75|21486.25|21494.50|21495.75|21498.75|21507.50|21508.75|21511.50|21513.50|21516.75|21529.25|21530.25|21533.75|21546.50|21552.00,21297.0,21071.75,21356.25,21197.25,21004.50|21027.50|21037.25|21045.00|21047.75|21057.50|21058.75|21063.00|21075.75|21089.00|21096.50|21103.00|21110.25|21112.75|21115.75|21124.00|21142.50|21155.00|21176.75|21190.00|21196.00|21216.50|21225.50|21230.50|21240.50|21248.25|21254.75|21263.00|21264.50|21272.75|21286.75|21293.50|21302.25|21303.25|21307.75|21316.25|21320.25|21332.50|21345.00|21356.50|21369.75|21422.50,111.0,241.0,460.0,221.0,241.0,519.0,1.0,254.0,False,True,False,True,False,False,False,False,False,False,False,False
2025-01-06,2025-01-06 17:19:00+00:00,ABS_03,absorption,-1,0.0597,QUIET,21833.25,21833.75,21824.0,21832.5,21825.0,21837.25,21826.75,21827.25,21828.5,21789.5,-1,21833.75,30.0,True,-19.0,False,23.0,True,21.0,True,16.0,True,172.0,True,21864.75,21737.75,21890.5,21787.25,21647.75,21896.75,51,21660.25|21672.00|21690.50|21693.25|21694.00|21695.00|21698.25|21700.25|21702.25|21706.50|21710.25|21711.50|21715.25|21716.50|21718.00|21720.25|21723.00|21730.75|21733.25|21756.25|21766.50|21770.50|21771.25|21775.25|21776.50|21778.75|21780.00|21784.75|21785.75|21790.75|21798.50|21804.00|21808.25|21823.75|21832.00|21838.25|21847.75|21850.75|21854.75|21856.75|21858.00|21859.25|21860.50|21863.25|21867.50|21870.25|21871.50|21876.50|21877.50|21879.00|21881.25,21513.75,21371.0,21546.25,21430.75,21316.25|21328.75|21331.25|21341.50|21348.50|21349.50|21355.75|21363.00|21370.25|21371.75|21373.25|21384.00|21400.75|21408.50|21420.50|21444.50|21455.50|21456.25|21459.75|21461.75|21464.25|21467.00|21470.50|21474.00|21475.75|21486.25|21494.50|21495.75|21498.75|21507.50|21508.75|21511.50|21513.50|21516.75|21529.25|21530.25|21533.75|21546.50|21552.00,124.0,227.0,384.0,186.0,227.0,1150.0,7.0,1127.0,False,True,False,True,False,False,False,False,False,False,False,False
2025-01-07,2025-01-07 20:55:00+00:00,ABS_03,absorption,1,0.0265,TYPE_C,21357.5,21373.75,21352.5,21354.75,21357.5,21365.0,21334.75,21360.5,21315.75,21327.75,1,21352.5,11.0,True,41.0,True,-80.0,False,23.0,True,-156.0,False,-108.0,False,21441.25,21399.5,21626.75,21509.75,21279.5,21806.0,39,21330.75|21332.25|21349.50|21351.75|21353.50|21404.75|21411.75|21414.25|21418.00|21420.25|21423.25|21425.00|21428.25|21430.00|21432.50|21433.50|21435.00|21439.50|21444.00|21446.75|21447.75|21449.50|21450.50|21457.25|21461.25|21462.25|21465.00|21466.50|21476.00|21484.00|21486.75|21498.00|21519.50|21529.75|21541.00|21550.25|21748.50|21763.75|21778.25,21864.75,21737.75,21890.5,21787.25,21660.25|21672.00|21690.50|21693.25|21694.00|21695.00|21698.25|21700.25|21702.25|21706.50|21710.25|21711.50|21715.25|21716.50|21718.00|21720.25|21723.00|21730.75|21733.25|21756.25|21766.50|21770.50|21771.25|21775.25|21776.50|21778.75|21780.00|21784.75|21785.75|21790.75|21798.50|21804.00|21808.25|21823.75|21832.00|21838.25|21847.75|21850.75|21854.75|21856.75|21858.00|21859.25|21860.50|21863.25|21867.50|21870.25|21871.50|21876.50|21877.50|21879.00|21881.25,355.0,1097.0,188.0,629.0,188.0,1541.0,3.0,1231.0,False,True,False,True,False,False,True,False,False,False,False,False
2025-01-08,2025-01-08 18:54:00+00:00,ABS_03,absorption,-1,0.0445,TYPE_C,21294.5,21295.25,21282.0,21293.75,21298.0,21302.0,21325.5,21313.75,21390.75,21388.0,-1,21295.25,-17.0,False,-33.0,False,-127.0,False,-80.0,False,-388.0,False,-377.0,False,21345.0,21300.75,21385.25,21328.5,21166.25,21431.75,43,21223.50|21230.75|21239.25|21244.25|21251.75|21253.25|21269.75|21293.00|21296.25|21303.75|21304.50|21310.25|21311.75|21313.50|21316.75|21318.00|21322.50|21324.75|21331.75|21332.50|21335.00|21336.25|21339.50|21340.75|21342.50|21346.75|21350.50|21351.50|21354.25|21356.75|21359.25|21360.75|21362.00|21363.75|21376.50|21377.50|21380.25|21386.00|21386.75|21387.75|21397.75|21399.25|21401.50,21441.25,21399.5,21626.75,21509.75,21330.75|21332.25|21349.50|21351.75|21353.50|21404.75|21411.75|21414.25|21418.00|21420.25|21423.25|21425.00|21428.25|21430.00|21432.50|21433.50|21435.00|21439.50|21444.00|21446.75|21447.75|21449.50|21450.50|21457.25|21461.25|21462.25|21465.00|21466.50|21476.00|21484.00|21486.75|21498.00|21519.50|21529.75|21541.00|21550.25|21748.50|21763.75|21778.25,199.0,360.0,22.0,133.0,360.0,1326.0,4.0,142.0,False,True,False,True,False,False,False,False,False,False,False,False
2025-01-08,2025-01-08 20:57:00+00:00,ABS_03,absorption,-1,0.0332,TYPE_C,21357.75,21361.0,21343.25,21359.75,21356.75,21360.25,21149.75,21098.25,21100.25,21056.25,-1,21361.0,12.0,True,-2.0,False,840.0,True,1046.0,True,1038.0,True,1214.0,True,21345.0,21300.75,21385.25,21328.5,21166.25,21431.75,43,21223.50|21230.75|21239.25|21244.25|21251.75|21253.25|21269.75|21293.00|21296.25|21303.75|21304.50|21310.25|21311.75|21313.50|21316.75|21318.00|21322.50|21324.75|21331.75|21332.50|21335.00|21336.25|21339.50|21340.75|21342.50|21346.75|21350.50|21351.50|21354.25|21356.75|21359.25|21360.75|21362.00|21363.75|21376.50|21377.50|21380.25|21386.00|21386.75|21387.75|21397.75|21399.25|21401.50,21441.25,21399.5,21626.75,21509.75,21330.75|21332.25|21349.50|21351.75|21353.50|21404.75|21411.75|21414.25|21418.00|21420.25|21423.25|21425.00|21428.25|21430.00|21432.50|21433.50|21435.00|21439.50|21444.00|21446.75|21447.75|21449.50|21450.50|21457.25|21461.25|21462.25|21465.00|21466.50|21476.00|21484.00|21486.75|21498.00|21519.50|21529.75|21541.00|21550.25|21748.50|21763.75|21778.25,64.0,97.0,241.0,130.0,97.0,1063.0,1.0,30.0,False,True,False,True,False,False,False,False,False,False,False,False
2025-01-10,2025-01-10 20:21:00+00:00,ABS_03,absorption,-1,0.0279,TYPE_C,21020.5,21023.5,21002.5,21021.5,21024.75,21024.25,21019.0,20999.0,21001.5,21009.75,-1,21023.5,-13.0,False,-11.0,False,10.0,True,90.0,True,80.0,True,47.0,True,21016.5,20966.5,21172.5,21022.75,20874.75,21197.25,43,20900.75|20903.50|20909.25|20916.25|20917.50|20918.25|20920.50|20926.00|20928.00|20931.75|20934.75|20943.50|20948.25|20949.25|20951.75|20952.75|20954.00|20960.00|20981.50|20996.00|21004.25|21006.25|21008.25|21009.75|21011.50|21012.75|21020.00|21021.75|21023.75|21028.50|21031.50|21046.75|21049.75|21061.50|21065.75|21071.25|21075.25|21085.75|21089.75|21113.50|21117.00|21119.00|21135.50,21345.0,21300.75,21385.25,21328.5,21223.50|21230.75|21239.25|21244.25|21251.75|21253.25|21269.75|21293.00|21296.25|21303.75|21304.50|21310.25|21311.75|21313.50|21316.75|21318.00|21322.50|21324.75|21331.75|21332.50|21335.00|21336.25|21339.50|21340.75|21342.50|21346.75|21350.50|21351.50|21354.25|21356.75|21359.25|21360.75|21362.00|21363.75|21376.50|21377.50|21380.25|21386.00|21386.75|21387.75|21397.75|21399.25|21401.50,28.0,596.0,228.0,3.0,596.0,1447.0,1.0,800.0,False,True,True,True,False,False,False,False,False,False,False,False
2025-01-13,2025-01-13 20:54:00+00:00,ABS_03,absorption,-1,0.0313,TYPE_C,20929.25,20936.5,20918.5,20935.5,20952.25,20958.5,20948.25,21072.0,21111.75,21006.75,-1,20936.5,-67.0,False,-92.0,False,-51.0,False,-546.0,False,-705.0,False,-285.0,False,20892.75,20768.0,20906.75,20824.5,20702.0,20964.5,47,20749.00|20750.00|20759.00|20768.00|20769.00|20770.25|20771.50|20774.00|20778.25|20779.25|20788.75|20789.75|20794.25|20795.25|20797.00|20799.25|20801.25|20803.25|20814.75|20817.25|20824.25|20826.75|20839.25|20840.75|20841.75|20843.75|20846.25|20851.75|20853.50|20856.00|20858.25|20864.50|20871.25|20873.75|20876.25|20877.25|20878.75|20879.50|20885.25|20889.75|20891.25|20892.00|20894.25|20895.25|20898.75|20907.00|20926.75,21016.5,20966.5,21172.5,21022.75,20900.75|20903.50|20909.25|20916.25|20917.50|20918.25|20920.50|20926.00|20928.00|20931.75|20934.75|20943.50|20948.25|20949.25|20951.75|20952.75|20954.00|20960.00|20981.50|20996.00|21004.25|21006.25|21008.25|21009.75|21011.50|21012.75|21020.00|21021.75|21023.75|21028.50|21031.50|21046.75|21049.75|21061.50|21065.75|21071.25|21075.25|21085.75|21089.75|21113.50|21117.00|21119.00|21135.50,175.0,119.0,674.0,448.0,119.0,944.0,39.0,7.0,False,True,False,False,True,False,True,False,False,False,False,False
2025-01-14,2025-01-14 15:51:00+00:00,ABS_03,absorption,-1,0.0161,QUIET,20963.5,20972.75,20937.25,20969.75,20957.75,20973.5,20956.0,20928.75,20913.0,20913.0,-1,20972.75,48.0,True,-15.0,False,55.0,True,164.0,True,227.0,True,227.0,True,20993.75,20826.5,21030.25,20937.75,20773.5,21129.75,44,20812.25|20818.25|20826.25|20837.50|20838.50|20839.75|20841.00|20846.00|20847.00|20852.75|20853.50|20854.50|20855.25|20862.75|20864.75|20865.75|20873.00|20876.00|20888.25|20889.00|20892.00|20893.75|20897.50|20906.50|20911.25|20917.00|20921.50|20935.00|20972.50|20981.25|20983.50|20984.75|20986.25|20989.00|20990.00|20997.25|20999.00|21005.75|21009.25|21055.75|21066.50|21071.25|21072.25|21078.75,20892.75,20768.0,20906.75,20824.5,20749.00|20750.00|20759.00|20768.00|20769.00|20770.25|20771.50|20774.00|20778.25|20779.25|20788.75|20789.75|20794.25|20795.25|20797.00|20799.25|20801.25|20803.25|20814.75|20817.25|20824.25|20826.75|20839.25|20840.75|20841.75|20843.75|20846.25|20851.75|20853.50|20856.00|20858.25|20864.50|20871.25|20873.75|20876.25|20877.25|20878.75|20879.50|20885.25|20889.75|20891.25|20892.00|20894.25|20895.25|20898.75|20907.00|20926.75,84.0,230.0,585.0,140.0,230.0,264.0,1.0,184.0,False,True,False,True,False,False,False,False,False,False,False,False
2025-01-14,2025-01-14 20:07:00+00:00,ABS_03,absorption,-1,0.0225,TYPE_C,20792.0,20798.75,20773.5,20796.25,20807.0,20803.25,20794.5,20810.0,20793.5,20829.5,-1,20798.75,-43.0,False,-28.0,False,7.0,True,-55.0,False,11.0,True,-133.0,False,20993.75,20826.5,21030.25,20937.75,20773.5,21129.75,44,20812.25|20818.25|20826.25|20837.50|20838.50|20839.75|20841.00|20846.00|20847.00|20852.75|20853.50|20854.50|20855.25|20862.75|20864.75|20865.75|20873.00|20876.00|20888.25|20889.00|20892.00|20893.75|20897.50|20906.50|20911.25|20917.00|20921.50|20935.00|20972.50|20981.25|20983.50|20984.75|20986.25|20989.00|20990.00|20997.25|20999.00|21005.75|21009.25|21055.75|21066.50|21071.25|21072.25|21078.75,20892.75,20768.0,20906.75,20824.5,20749.00|20750.00|20759.00|20768.00|20769.00|20770.25|20771.50|20774.00|20778.25|20779.25|20788.75|20789.75|20794.25|20795.25|20797.00|20799.25|20801.25|20803.25|20814.75|20817.25|20824.25|20826.75|20839.25|20840.75|20841.75|20843.75|20846.25|20851.75|20853.50|20856.00|20858.25|20864.50|20871.25|20873.75|20876.25|20877.25|20878.75|20879.50|20885.25|20889.75|20891.25|20892.00|20894.25|20895.25|20898.75|20907.00|20926.75,780.0,926.0,111.0,556.0,926.0,432.0,54.0,2.0,False,True,False,False,True,False,False,False,False,False,False,False
